answer,query_text,program_text,filename
1,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,21.jpg
5,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,21.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,21.jpg
1,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,21.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,21.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,21.jpg
5,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,21.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,21.jpg
no,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,21.jpg
no,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,21.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,21.jpg
yes,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,21.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,21.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,21.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,21.jpg
no,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,21.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,21.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,22.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,22.jpg
2,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,22.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,22.jpg
4,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,22.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,22.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,22.jpg
4,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,22.jpg
2,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,22.jpg
2,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,22.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,22.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,22.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,22.jpg
no,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,22.jpg
rectangle,What is the shape of the orange of the object?,filter orange <nxt> query shape,22.jpg
no,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,22.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,22.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,22.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,22.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,22.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,23.jpg
5,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,23.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,23.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,23.jpg
5,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,23.jpg
5,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,23.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,23.jpg
5,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,23.jpg
5,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,23.jpg
rectangle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,23.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,23.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,23.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,23.jpg
rectangle,What is the shape of the gray of the object?,filter gray <nxt> query shape,23.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,23.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,23.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,23.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,23.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,23.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,23.jpg
4,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,24.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,24.jpg
4,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,24.jpg
2,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,24.jpg
circle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,24.jpg
circle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,24.jpg
4,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,24.jpg
circle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,24.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,24.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,24.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,24.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,24.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,24.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,24.jpg
no,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,24.jpg
no,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,24.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,24.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,24.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,24.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,24.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,25.jpg
circle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,25.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,25.jpg
3,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,25.jpg
3,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,25.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,25.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,25.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,25.jpg
3,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,25.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,25.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,25.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,25.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,25.jpg
yes,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,25.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,25.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,25.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,25.jpg
circle,What is the shape of the green of the object?,filter green <nxt> query shape,25.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,25.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,25.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,26.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,26.jpg
2,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,26.jpg
4,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,26.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,26.jpg
2,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,26.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,26.jpg
rectangle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,26.jpg
circle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,26.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,26.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,26.jpg
yes,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,26.jpg
no,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,26.jpg
no,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,26.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,26.jpg
no,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,26.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,26.jpg
circle,What is the shape of the blue of the object?,filter blue <nxt> query shape,26.jpg
circle,What is the shape of the blue of the object?,filter blue <nxt> query shape,26.jpg
no,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,26.jpg
circle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,27.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,27.jpg
5,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,27.jpg
circle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,27.jpg
5,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,27.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,27.jpg
rectangle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,27.jpg
5,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,27.jpg
circle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,27.jpg
rectangle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,27.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,27.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,27.jpg
circle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,27.jpg
circle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,27.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,27.jpg
no,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,27.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,27.jpg
no,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,27.jpg
circle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,27.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,27.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,28.jpg
3,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,28.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,28.jpg
3,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,28.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,28.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,28.jpg
circle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,28.jpg
circle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,28.jpg
circle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,28.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,28.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,28.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,28.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,28.jpg
circle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,28.jpg
no,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,28.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,28.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,28.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,28.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,28.jpg
no,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,28.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,29.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,29.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,29.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,29.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,29.jpg
4,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,29.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,29.jpg
2,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,29.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,29.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,29.jpg
no,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,29.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,29.jpg
no,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,29.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,29.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,29.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,29.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,29.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,29.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,29.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,29.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,30.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,30.jpg
4,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,30.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,30.jpg
circle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,30.jpg
rectangle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,30.jpg
4,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,30.jpg
4,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,30.jpg
circle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,30.jpg
circle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,30.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,30.jpg
yes,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,30.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,30.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,30.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,30.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,30.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,30.jpg
no,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,30.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,30.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,30.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,31.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,31.jpg
2,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,31.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,31.jpg
4,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,31.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,31.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,31.jpg
circle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,31.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,31.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,31.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,31.jpg
circle,What is the shape of the green of the object?,filter green <nxt> query shape,31.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,31.jpg
no,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,31.jpg
rectangle,What is the shape of the gray of the object?,filter gray <nxt> query shape,31.jpg
circle,What is the shape of the red of the object?,filter red <nxt> query shape,31.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,31.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,31.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,31.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,31.jpg
4,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,32.jpg
circle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,32.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,32.jpg
rectangle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,32.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,32.jpg
rectangle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,32.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,32.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,32.jpg
2,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,32.jpg
4,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,32.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,32.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,32.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,32.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,32.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,32.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,32.jpg
no,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,32.jpg
no,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,32.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,32.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,32.jpg
circle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,33.jpg
rectangle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,33.jpg
5,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,33.jpg
5,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,33.jpg
5,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,33.jpg
5,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,33.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,33.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,33.jpg
rectangle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,33.jpg
rectangle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,33.jpg
yes,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,33.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,33.jpg
rectangle,What is the shape of the orange of the object?,filter orange <nxt> query shape,33.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,33.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,33.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,33.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,33.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,33.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,33.jpg
no,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,33.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,34.jpg
5,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,34.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,34.jpg
5,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,34.jpg
rectangle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,34.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,34.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,34.jpg
rectangle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,34.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,34.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,34.jpg
no,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,34.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,34.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,34.jpg
no,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,34.jpg
no,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,34.jpg
no,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,34.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,34.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,34.jpg
rectangle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,34.jpg
no,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,34.jpg
2,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,35.jpg
rectangle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,35.jpg
rectangle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,35.jpg
4,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,35.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,35.jpg
rectangle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,35.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,35.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,35.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,35.jpg
4,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,35.jpg
yes,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,35.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,35.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,35.jpg
no,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,35.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,35.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,35.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,35.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,35.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,35.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,35.jpg
3,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,36.jpg
3,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,36.jpg
3,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,36.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,36.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,36.jpg
3,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,36.jpg
circle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,36.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,36.jpg
circle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,36.jpg
3,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,36.jpg
yes,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,36.jpg
yes,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,36.jpg
